Format Version,1.0,
Take Name,fil_squatlifting2,
Capture Frame Rate,100.00,
Export Frame Rate,100.00,
Capture Start Time,10 Jan 1970 22:14:53 +0100,
Total Frames In Take,5405,
Total Exported Frames,5405,
Coordinate Space,Local,
Device Name,AMTI 12073M,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,1.00,

PlateLength,15.750000,
PlateWidth,23.620000,
PlateOrder,1,
PosX_PosY_X,0.399391,
PosX_PosY_Y,-0.000010,
PosX_PosY_Z,0.598805,
NegX_PosY_X,0.000006,
NegX_PosY_Y,-0.000014,
NegX_PosY_Z,0.598564,
NegX_NegY_X,0.000007,
NegX_NegY_Y,-0.000008,
NegX_NegY_Z,-0.000003,
PosX_NegY_X,0.399392,
PosX_NegY_Y,-0.000004,
PosX_NegY_Z,0.000237,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz
0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.040000,4,-1.557007,5.260010,808.218750,-3.470337,-30.156250,-0.227722,0.037312,-0.004294,0.000000
5,0.050000,5,-1.286255,5.165527,807.843750,-3.285522,-29.926758,-0.246643,0.037045,-0.004067,0.000000
6,0.060000,6,-1.556763,5.352539,806.062500,-3.202759,-30.048828,-0.284027,0.037279,-0.003973,0.000000
7,0.070000,7,-1.292297,5.531494,806.406250,-3.619019,-30.038086,-0.303268,0.037249,-0.004488,0.000000
8,0.080000,8,-1.374878,5.349121,807.843750,-3.338135,-30.039063,-0.284851,0.037184,-0.004132,0.000000
9,0.090000,9,-1.466492,5.259277,807.843750,-3.652954,-29.826172,-0.284790,0.036921,-0.004522,0.000000
10,0.100000,10,-1.921753,5.175537,804.656250,-3.515015,-29.660156,-0.264191,0.036861,-0.004368,0.000000
11,0.110000,11,-1.831848,5.082764,805.343750,-3.602051,-29.509766,-0.264496,0.036642,-0.004473,0.000000
12,0.120000,12,-1.908691,5.438721,806.406250,-3.478394,-29.442383,-0.245895,0.036511,-0.004313,0.000000
