Format Version,1.22,Take Name,rami_squatlifting1,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,13 Dec 1969 13:10:57 +0100,Total Frames in Take,6511,Total Exported Frames,6511,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,BODY:BACK,BODY:BACK,BODY:BACK,BOX:FARDL,BOX:FARDL,BOX:FARDL,BOX:FARDR,BOX:FARDR,BOX:FARDR,TABLE:FARL,TABLE:FARL,TABLE:FARL,TABLE:FARR,TABLE:FARR,TABLE:FARR,BOX:FARUR,BOX:FARUR,BOX:FARUR,BOX:NEADR,BOX:NEADR,BOX:NEADR,TABLE:NEAR,TABLE:NEAR,TABLE:NEAR,BODY:RANK,BODY:RANK,BODY:RANK,BODY:RELB,BODY:RELB,BODY:RELB,BODY:RGTR,BODY:RGTR,BODY:RGTR,BODY:RHEE,BODY:RHEE,BODY:RHEE,BODY:RKNE,BODY:RKNE,BODY:RKNE,BODY:RSHO,BODY:RSHO,BODY:RSHO,BODY:RTOE,BODY:RTOE,BODY:RTOE,BODY:RWRI,BODY:RWRI,BODY:RWRI,Unlabeled 1389,Unlabeled 1389,Unlabeled 1389,Unlabeled 1396,Unlabeled 1396,Unlabeled 1396,Unlabeled 1400,Unlabeled 1400,Unlabeled 1400,Unlabeled 1404,Unlabeled 1404,Unlabeled 1404,Unlabeled 1408,Unlabeled 1408,Unlabeled 1408
,,"1D96AB31E56411EBE14415A941DCF5A4","1D96AB31E56411EBE14415A941DCF5A4","1D96AB31E56411EBE14415A941DCF5A4","381F7DC2E56411EBE14415A941DCF5A4","381F7DC2E56411EBE14415A941DCF5A4","381F7DC2E56411EBE14415A941DCF5A4","381F7DBEE56411EBE14415A941DCF5A4","381F7DBEE56411EBE14415A941DCF5A4","381F7DBEE56411EBE14415A941DCF5A4","45638ED0E56411EBE14415A941DCF5A4","45638ED0E56411EBE14415A941DCF5A4","45638ED0E56411EBE14415A941DCF5A4","45638ECEE56411EBE14415A941DCF5A4","45638ECEE56411EBE14415A941DCF5A4","45638ECEE56411EBE14415A941DCF5A4","381F7DC0E56411EBE14415A941DCF5A4","381F7DC0E56411EBE14415A941DCF5A4","381F7DC0E56411EBE14415A941DCF5A4","381F7DBCE56411EBE14415A941DCF5A4","381F7DBCE56411EBE14415A941DCF5A4","381F7DBCE56411EBE14415A941DCF5A4","3F0CC58FE56411EBE14415A941DCF5A4","3F0CC58FE56411EBE14415A941DCF5A4","3F0CC58FE56411EBE14415A941DCF5A4","2968B9BCE56411EBE14415A941DCF5A4","2968B9BCE56411EBE14415A941DCF5A4","2968B9BCE56411EBE14415A941DCF5A4","1D96AB2DE56411EBE14415A941DCF5A4","1D96AB2DE56411EBE14415A941DCF5A4","1D96AB2DE56411EBE14415A941DCF5A4","2968B9B8E56411EBE14415A941DCF5A4","2968B9B8E56411EBE14415A941DCF5A4","2968B9B8E56411EBE14415A941DCF5A4","2968B9BEE56411EBE14415A941DCF5A4","2968B9BEE56411EBE14415A941DCF5A4","2968B9BEE56411EBE14415A941DCF5A4","2968B9BAE56411EBE14415A941DCF5A4","2968B9BAE56411EBE14415A941DCF5A4","2968B9BAE56411EBE14415A941DCF5A4","1D96AB2BE56411EBE14415A941DCF5A4","1D96AB2BE56411EBE14415A941DCF5A4","1D96AB2BE56411EBE14415A941DCF5A4","312A2766E56411EBE14415A941DCF5A4","312A2766E56411EBE14415A941DCF5A4","312A2766E56411EBE14415A941DCF5A4","1D96AB2FE56411EBE14415A941DCF5A4","1D96AB2FE56411EBE14415A941DCF5A4","1D96AB2FE56411EBE14415A941DCF5A4","C60A0","C60A0","C60A0","C7200","C7200","C7200","C7220","C7220","C7220","C7260","C7260","C7260","C72A0","C72A0","C72A0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.384087,1.172642,0.260652,-0.346599,0.009869,0.474460,-0.325050,0.010387,0.047333,-0.791862,0.662132,0.585994,-0.769388,0.667906,-0.113850,-0.330993,0.228587,0.050785,-0.033779,0.009510,0.048606,-0.293495,0.664384,-0.111980,0.313676,0.074043,0.147301,0.283265,1.157142,-0.061125,0.343951,0.905805,0.078556,0.354683,0.064604,0.199479,0.234099,0.521489,0.116448,0.241213,1.529167,0.013055,0.090602,0.029877,0.180166,0.201708,0.902744,-0.066475,,,,,,,,,,,,,,,
1,0.010000,0.383853,1.172188,0.261189,-0.346631,0.009895,0.474450,-0.325050,0.010389,0.047332,-0.791862,0.662131,0.585993,-0.769386,0.667903,-0.113852,-0.330985,0.228581,0.050790,-0.033776,0.009522,0.048610,-0.293490,0.664389,-0.111978,0.313664,0.074045,0.147337,0.283393,1.157522,-0.060450,0.343407,0.905812,0.078505,0.354676,0.064607,0.199505,0.233873,0.521480,0.116524,0.241919,1.529520,0.014200,0.090621,0.029882,0.180159,0.201749,0.903147,-0.066408,,,,,,,,,,,,,,,
2,0.020000,0.383638,1.171822,0.261757,-0.346635,0.009894,0.474450,-0.325355,0.010843,0.047394,-0.791869,0.662128,0.585993,-0.769392,0.667913,-0.113857,-0.330995,0.228587,0.050785,-0.033782,0.009521,0.048601,-0.293501,0.664387,-0.111980,0.313665,0.074074,0.147370,0.283561,1.157916,-0.059677,0.342875,0.905873,0.078522,0.354670,0.064596,0.199555,0.233605,0.521455,0.116583,0.242632,1.529821,0.015409,0.090645,0.029915,0.180134,0.201759,0.903546,-0.066321,,,,,,,,,,,,,,,
3,0.030000,0.383254,1.171365,0.262568,-0.346593,0.009865,0.474462,-0.325056,0.010402,0.047328,-0.791871,0.662135,0.585986,-0.769383,0.667899,-0.113852,-0.330998,0.228587,0.050786,-0.033775,0.009523,0.048604,-0.293502,0.664387,-0.111976,0.313695,0.074108,0.147408,0.283678,1.158214,-0.058846,0.342354,0.905913,0.078506,0.354671,0.064586,0.199607,0.233332,0.521440,0.116644,0.243394,1.530103,0.016732,0.090675,0.029902,0.180127,0.201742,0.903993,-0.066181,,,,,,,,,,,,,,,
4,0.040000,0.383009,1.170886,0.263350,-0.346595,0.009866,0.474456,-0.325048,0.010389,0.047332,-0.791874,0.662138,0.585992,-0.769383,0.667910,-0.113865,-0.330993,0.228586,0.050787,-0.033776,0.009511,0.048605,-0.293499,0.664385,-0.111978,0.313725,0.074125,0.147443,0.283835,1.158614,-0.057969,0.341629,0.905910,0.078533,0.354674,0.064569,0.199655,0.232962,0.521405,0.116698,0.244154,1.530361,0.018193,0.090728,0.029931,0.180107,0.201718,0.904428,-0.065980,,,,,,,,,,,,,,,
5,0.050000,0.382689,1.170365,0.264267,-0.346589,0.009863,0.474468,-0.325359,0.010842,0.047392,-0.791866,0.662137,0.585990,-0.769389,0.667902,-0.113859,-0.330986,0.228594,0.050780,-0.033772,0.009510,0.048606,-0.293500,0.664380,-0.111979,0.313746,0.074130,0.147468,0.284009,1.158929,-0.057008,0.341058,0.905944,0.078574,0.354680,0.064572,0.199677,0.232473,0.521379,0.116757,0.244974,1.530626,0.019661,0.090793,0.029958,0.180078,0.201720,0.904856,-0.065669,,,,,,,,,,,,,,,
6,0.060000,0.382400,1.169877,0.265192,-0.346623,0.009893,0.474468,-0.325050,0.010392,0.047324,-0.791872,0.662142,0.585982,-0.769391,0.667905,-0.113859,-0.330991,0.228587,0.050786,-0.033778,0.009509,0.048605,-0.293506,0.664383,-0.111981,0.313760,0.074151,0.147488,0.284163,1.159248,-0.056001,0.340345,0.905980,0.078672,0.354668,0.064575,0.199707,0.231935,0.521324,0.116802,0.245797,1.530927,0.021211,0.090835,0.029957,0.180066,0.201664,0.905258,-0.065366,,,,,,,,,,,,,,,
7,0.070000,0.382110,1.169338,0.266180,-0.346560,0.009844,0.474467,-0.325352,0.010838,0.047391,-0.791873,0.662139,0.585983,-0.769391,0.667916,-0.113863,-0.330998,0.228586,0.050777,-0.033777,0.009520,0.048600,-0.293496,0.664392,-0.111983,0.313750,0.074187,0.147517,0.284305,1.159567,-0.054917,0.339627,0.906067,0.078812,0.354654,0.064600,0.199724,0.231304,0.521269,0.116852,0.246669,1.531168,0.022887,0.090850,0.029978,0.180052,0.201599,0.905669,-0.064974,,,,,,,,,,,,,,,
8,0.080000,0.381796,1.168846,0.267199,-0.346615,0.009873,0.474461,-0.325050,0.010386,0.047327,-0.791877,0.662136,0.585991,-0.769382,0.667907,-0.113857,-0.330994,0.228589,0.050782,-0.033778,0.009519,0.048603,-0.293504,0.664389,-0.111987,0.313697,0.074215,0.147527,0.284371,1.159885,-0.053807,0.338842,0.906083,0.078984,0.354599,0.064631,0.199736,0.230575,0.521228,0.116996,0.247603,1.531493,0.024620,0.090815,0.029952,0.180062,0.201496,0.906110,-0.064551,,,,,,,,,,,,,,,
9,0.090000,0.381484,1.168327,0.268222,-0.346615,0.009884,0.474461,-0.325051,0.010397,0.047327,-0.791872,0.662135,0.585995,-0.769383,0.667905,-0.113858,-0.330992,0.228597,0.050777,-0.033778,0.009519,0.048607,-0.293498,0.664397,-0.111988,0.313626,0.074252,0.147526,0.284500,1.160207,-0.052620,0.338035,0.906044,0.079198,0.354543,0.064675,0.199739,0.229863,0.521165,0.117142,0.248529,1.531728,0.026412,0.090775,0.029939,0.180074,0.201382,0.906565,-0.064056,,,,,,,,,,,,,,,
10,0.100000,0.381106,1.167845,0.269206,-0.346580,0.009853,0.474466,-0.325350,0.010840,0.047396,-0.791859,0.662130,0.585995,-0.769383,0.667903,-0.113852,-0.330999,0.228591,0.050789,-0.033784,0.009520,0.048602,-0.293498,0.664383,-0.111980,0.313551,0.074287,0.147549,0.284612,1.160544,-0.051349,0.337227,0.906014,0.079464,0.354458,0.064719,0.199766,0.229118,0.521163,0.117341,0.249511,1.532042,0.028316,0.090745,0.029927,0.180086,0.201260,0.907086,-0.063524,,,,,,,,,,,,,,,
11,0.110000,0.380842,1.167461,0.270061,-0.346607,0.009871,0.474456,-0.325356,0.010847,0.047390,-0.791862,0.662129,0.585999,-0.769382,0.667902,-0.113855,-0.330996,0.228586,0.050785,-0.033780,0.009518,0.048602,-0.293497,0.664397,-0.111984,0.313473,0.074331,0.147587,0.284701,1.160981,-0.050035,0.336395,0.905949,0.079700,0.354393,0.064790,0.199796,0.228409,0.521121,0.117607,0.250419,1.532393,0.030239,0.090694,0.029889,0.180113,0.201084,0.907577,-0.062855,,,,,,,,,,,,,,,
