Format Version,1.22,Take Name,rami_squatlifting2,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,13 Dec 1969 13:14:07 +0100,Total Frames in Take,5658,Total Exported Frames,5658,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,BODY:BACK,BODY:BACK,BODY:BACK,BOX:FARDL,BOX:FARDL,BOX:FARDL,BOX:FARDR,BOX:FARDR,BOX:FARDR,TABLE:FARL,TABLE:FARL,TABLE:FARL,TABLE:FARR,TABLE:FARR,TABLE:FARR,BOX:FARUR,BOX:FARUR,BOX:FARUR,BOX:NEADR,BOX:NEADR,BOX:NEADR,TABLE:NEAR,TABLE:NEAR,TABLE:NEAR,BODY:RANK,BODY:RANK,BODY:RANK,BODY:RELB,BODY:RELB,BODY:RELB,BODY:RGTR,BODY:RGTR,BODY:RGTR,BODY:RHEE,BODY:RHEE,BODY:RHEE,BODY:RKNE,BODY:RKNE,BODY:RKNE,BODY:RSHO,BODY:RSHO,BODY:RSHO,BODY:RTOE,BODY:RTOE,BODY:RTOE,BODY:RWRI,BODY:RWRI,BODY:RWRI,Unlabeled 1429,Unlabeled 1429,Unlabeled 1429,Unlabeled 1430,Unlabeled 1430,Unlabeled 1430,Unlabeled 1431,Unlabeled 1431,Unlabeled 1431,Unlabeled 1433,Unlabeled 1433,Unlabeled 1433,Unlabeled 1435,Unlabeled 1435,Unlabeled 1435,Unlabeled 1436,Unlabeled 1436,Unlabeled 1436,Unlabeled 1438,Unlabeled 1438,Unlabeled 1438,Unlabeled 1439,Unlabeled 1439,Unlabeled 1439,Unlabeled 1441,Unlabeled 1441,Unlabeled 1441,Unlabeled 1442,Unlabeled 1442,Unlabeled 1442,Unlabeled 1445,Unlabeled 1445,Unlabeled 1445,Unlabeled 1447,Unlabeled 1447,Unlabeled 1447,Unlabeled 1449,Unlabeled 1449,Unlabeled 1449,Unlabeled 1450,Unlabeled 1450,Unlabeled 1450,Unlabeled 1454,Unlabeled 1454,Unlabeled 1454,Unlabeled 1455,Unlabeled 1455,Unlabeled 1455,Unlabeled 1458,Unlabeled 1458,Unlabeled 1458
,,"F910BD36E56511EBE14415A941DCF5A4","F910BD36E56511EBE14415A941DCF5A4","F910BD36E56511EBE14415A941DCF5A4","1505DA5EE56611EBE14415A941DCF5A4","1505DA5EE56611EBE14415A941DCF5A4","1505DA5EE56611EBE14415A941DCF5A4","EE2DB76E56611EBE14415A941DCF5A4","EE2DB76E56611EBE14415A941DCF5A4","EE2DB76E56611EBE14415A941DCF5A4","1C1A6C9DE56611EBE14415A941DCF5A4","1C1A6C9DE56611EBE14415A941DCF5A4","1C1A6C9DE56611EBE14415A941DCF5A4","1C1A6C9BE56611EBE14415A941DCF5A4","1C1A6C9BE56611EBE14415A941DCF5A4","1C1A6C9BE56611EBE14415A941DCF5A4","1505DA5CE56611EBE14415A941DCF5A4","1505DA5CE56611EBE14415A941DCF5A4","1505DA5CE56611EBE14415A941DCF5A4","EE2DB74E56611EBE14415A941DCF5A4","EE2DB74E56611EBE14415A941DCF5A4","EE2DB74E56611EBE14415A941DCF5A4","1C1A6C99E56611EBE14415A941DCF5A4","1C1A6C99E56611EBE14415A941DCF5A4","1C1A6C99E56611EBE14415A941DCF5A4","8C4D8AE56611EBE14415A941DCF5A4","8C4D8AE56611EBE14415A941DCF5A4","8C4D8AE56611EBE14415A941DCF5A4","F910BD32E56511EBE14415A941DCF5A4","F910BD32E56511EBE14415A941DCF5A4","F910BD32E56511EBE14415A941DCF5A4","8C4D86E56611EBE14415A941DCF5A4","8C4D86E56611EBE14415A941DCF5A4","8C4D86E56611EBE14415A941DCF5A4","8974200E56611EBE14415A941DCF5A4","8974200E56611EBE14415A941DCF5A4","8974200E56611EBE14415A941DCF5A4","8C4D88E56611EBE14415A941DCF5A4","8C4D88E56611EBE14415A941DCF5A4","8C4D88E56611EBE14415A941DCF5A4","F910BD30E56511EBE14415A941DCF5A4","F910BD30E56511EBE14415A941DCF5A4","F910BD30E56511EBE14415A941DCF5A4","8974202E56611EBE14415A941DCF5A4","8974202E56611EBE14415A941DCF5A4","8974202E56611EBE14415A941DCF5A4","F910BD34E56511EBE14415A941DCF5A4","F910BD34E56511EBE14415A941DCF5A4","F910BD34E56511EBE14415A941DCF5A4","C7490","C7490","C7490","C74A0","C74A0","C74A0","C74B0","C74B0","C74B0","C74C0","C74C0","C74C0","C74E0","C74E0","C74E0","C7500","C7500","C7500","C7510","C7510","C7510","C7530","C7530","C7530","C7540","C7540","C7540","C7480","C7480","C7480","C7570","C7570","C7570","C75B0","C75B0","C75B0","C75C0","C75C0","C75C0","C7560","C7560","C7560","C7620","C7620","C7620","C7630","C7630","C7630","C7640","C7640","C7640"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.409816,1.155446,0.299352,-0.327392,0.010079,0.478161,-0.323091,0.010274,0.050450,-0.791845,0.662137,0.585969,-0.769343,0.667914,-0.113887,-0.327728,0.228184,0.053696,-0.032078,0.009485,0.039932,-0.293458,0.664380,-0.112004,0.354301,0.079073,0.073779,0.298492,1.177867,0.003235,0.370065,0.909372,0.102777,0.384443,0.065578,0.131441,0.270521,0.528352,0.083992,0.298307,1.551399,0.103420,0.131121,0.033185,0.062259,0.170708,0.944201,-0.005621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010000,0.409995,1.155462,0.299146,-0.327396,0.010084,0.478152,-0.323087,0.010276,0.050442,-0.791854,0.662145,0.585961,-0.769345,0.667918,-0.113889,-0.327727,0.228184,0.053693,-0.032077,0.009481,0.039933,-0.293457,0.664379,-0.112007,0.354312,0.079053,0.073758,0.298209,1.178000,0.003003,0.370013,0.909264,0.103144,0.384467,0.065576,0.131408,0.270603,0.528352,0.083832,0.298656,1.551530,0.103352,0.131126,0.033190,0.062267,0.168874,0.945142,-0.005309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.020000,0.410175,1.155455,0.298928,-0.327387,0.010076,0.478158,-0.323085,0.010267,0.050452,-0.791846,0.662144,0.585966,-0.769342,0.667914,-0.113885,-0.327722,0.228182,0.053700,-0.032078,0.009482,0.039932,-0.293459,0.664380,-0.112003,0.354317,0.079041,0.073737,0.297938,1.178181,0.002748,0.370138,0.909228,0.103003,0.384463,0.065526,0.131406,0.270663,0.528333,0.083670,0.298995,1.551663,0.103310,0.131126,0.033184,0.062277,0.167206,0.946002,-0.004987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.030000,0.410345,1.155453,0.298741,-0.327415,0.010099,0.478152,-0.323094,0.010270,0.050444,-0.791850,0.662147,0.585964,-0.769344,0.667917,-0.113887,-0.327726,0.228184,0.053698,-0.032078,0.009485,0.039932,-0.293458,0.664385,-0.112007,0.354322,0.079018,0.073713,0.297709,1.178361,0.002453,0.370254,0.909224,0.102762,0.384475,0.065537,0.131375,0.270711,0.528309,0.083521,0.299352,1.551808,0.103278,0.131133,0.033184,0.062274,0.165638,0.946849,-0.004698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.040000,0.410521,1.155462,0.298530,-0.327411,0.010099,0.478156,-0.323098,0.010284,0.050443,-0.791847,0.662142,0.585967,-0.769346,0.667919,-0.113889,-0.327723,0.228186,0.053696,-0.032074,0.009492,0.039926,-0.293462,0.664382,-0.112006,0.354331,0.078993,0.073694,0.297500,1.178551,0.002104,0.370347,0.909244,0.102522,0.384496,0.065541,0.131358,0.270766,0.528302,0.083362,0.299694,1.551925,0.103236,0.131137,0.033194,0.062273,0.164309,0.947631,-0.004458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.050000,0.410722,1.155442,0.298369,-0.327393,0.010087,0.478161,-0.323089,0.010273,0.050446,-0.791844,0.662138,0.585967,-0.769353,0.667916,-0.113886,-0.327726,0.228190,0.053698,-0.032071,0.009490,0.039929,-0.293462,0.664381,-0.112002,0.354328,0.078978,0.073673,0.297300,1.178763,0.001696,0.370505,0.909217,0.102257,0.384510,0.065537,0.131334,0.270811,0.528302,0.083216,0.300069,1.552033,0.103231,0.131133,0.033180,0.062287,0.163173,0.948332,-0.004242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
