Format Version,1.0,
Take Name,jony_squatlifting3,
Capture Frame Rate,100.00,
Export Frame Rate,100.00,
Capture Start Time,16 Dec 1969 09:41:24 +0100,
Total Frames In Take,5967,
Total Exported Frames,5967,
Coordinate Space,Local,
Device Name,AMTI 12073M,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,1.00,

PlateLength,15.750000,
PlateWidth,23.620000,
PlateOrder,1,
PosX_PosY_X,0.400023,
PosX_PosY_Y,-0.000059,
PosX_PosY_Z,0.600700,
NegX_PosY_X,0.000014,
NegX_PosY_Y,-0.000034,
NegX_PosY_Z,0.598891,
NegX_NegY_X,0.000021,
NegX_NegY_Y,-0.000015,
NegX_NegY_Z,-0.000030,
PosX_NegY_X,0.400029,
PosX_NegY_Y,-0.000039,
PosX_NegY_Z,0.001779,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz
0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,2,-4.537354,-10.146973,687.656250,-10.500488,-38.636719,4.770996,0.056186,-0.015270,0.000000
3,0.030000,3,-4.720459,-10.327637,689.468750,-10.400879,-38.791016,4.770264,0.056262,-0.015085,0.000000
4,0.040000,4,-4.809326,-10.144531,689.468750,-10.498535,-38.757813,4.770264,0.056214,-0.015227,0.000000
5,0.050000,5,-4.899658,-10.142578,688.375000,-10.454590,-38.687500,4.751221,0.056201,-0.015187,0.000000
6,0.060000,6,-4.883789,-10.151367,689.812500,-10.407715,-38.250000,4.766602,0.055450,-0.015088,0.000000
7,0.070000,7,-4.982666,-10.150391,689.468750,-9.998535,-38.582031,4.806152,0.055959,-0.014502,0.000000
8,0.080000,8,-5.068359,-9.692871,690.187500,-10.288574,-38.513672,4.824463,0.055802,-0.014907,0.000000
9,0.090000,9,-5.332764,-9.779785,687.656250,-9.786621,-38.343750,4.826416,0.055760,-0.014232,0.000000
10,0.100000,10,-4.697510,-9.696777,687.656250,-9.745605,-38.353516,4.979492,0.055774,-0.014172,0.000000
11,0.110000,11,-4.789307,-9.787109,688.750000,-9.649414,-38.574219,5.056396,0.056006,-0.014010,0.000000
12,0.120000,12,-4.786377,-9.513184,688.750000,-9.569336,-38.611328,5.015381,0.056060,-0.013894,0.000000
