Format Version,1.22,Take Name,jony_squatlifting3,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,16 Dec 1969 09:41:24 +0100,Total Frames in Take,5967,Total Exported Frames,5967,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,BODY:BACK,BODY:BACK,BODY:BACK,BOX:FARDL,BOX:FARDL,BOX:FARDL,BOX:FARDR,BOX:FARDR,BOX:FARDR,TABLE:FARL,TABLE:FARL,TABLE:FARL,TABLE:FARR,TABLE:FARR,TABLE:FARR,BOX:FARUR,BOX:FARUR,BOX:FARUR,BOX:NEADR,BOX:NEADR,BOX:NEADR,TABLE:NEAR,TABLE:NEAR,TABLE:NEAR,BODY:RANK,BODY:RANK,BODY:RANK,BODY:RELB,BODY:RELB,BODY:RELB,BODY:RGTR,BODY:RGTR,BODY:RGTR,BODY:RHEE,BODY:RHEE,BODY:RHEE,BODY:RKNE,BODY:RKNE,BODY:RKNE,BODY:RSHO,BODY:RSHO,BODY:RSHO,BODY:RTOE,BODY:RTOE,BODY:RTOE,BODY:RWRI,BODY:RWRI,BODY:RWRI
,,"FAA4654AE88B11EBE14415A941DCF9A4","FAA4654AE88B11EBE14415A941DCF9A4","FAA4654AE88B11EBE14415A941DCF9A4","9348E32E88C11EBE14415A941DCF9A4","9348E32E88C11EBE14415A941DCF9A4","9348E32E88C11EBE14415A941DCF9A4","24430D1E88C11EBE14415A941DCF9A4","24430D1E88C11EBE14415A941DCF9A4","24430D1E88C11EBE14415A941DCF9A4","120DF1CEE88C11EBE14415A941DCF9A4","120DF1CEE88C11EBE14415A941DCF9A4","120DF1CEE88C11EBE14415A941DCF9A4","120DF1CCE88C11EBE14415A941DCF9A4","120DF1CCE88C11EBE14415A941DCF9A4","120DF1CCE88C11EBE14415A941DCF9A4","24430D3E88C11EBE14415A941DCF9A4","24430D3E88C11EBE14415A941DCF9A4","24430D3E88C11EBE14415A941DCF9A4","24430CFE88C11EBE14415A941DCF9A4","24430CFE88C11EBE14415A941DCF9A4","24430CFE88C11EBE14415A941DCF9A4","120DF1CAE88C11EBE14415A941DCF9A4","120DF1CAE88C11EBE14415A941DCF9A4","120DF1CAE88C11EBE14415A941DCF9A4","F2968D49E88B11EBE14415A941DCF9A4","F2968D49E88B11EBE14415A941DCF9A4","F2968D49E88B11EBE14415A941DCF9A4","FAA46546E88B11EBE14415A941DCF9A4","FAA46546E88B11EBE14415A941DCF9A4","FAA46546E88B11EBE14415A941DCF9A4","F2968D4DE88B11EBE14415A941DCF9A4","F2968D4DE88B11EBE14415A941DCF9A4","F2968D4DE88B11EBE14415A941DCF9A4","F2968D47E88B11EBE14415A941DCF9A4","F2968D47E88B11EBE14415A941DCF9A4","F2968D47E88B11EBE14415A941DCF9A4","F2968D4BE88B11EBE14415A941DCF9A4","F2968D4BE88B11EBE14415A941DCF9A4","F2968D4BE88B11EBE14415A941DCF9A4","FAA46544E88B11EBE14415A941DCF9A4","FAA46544E88B11EBE14415A941DCF9A4","FAA46544E88B11EBE14415A941DCF9A4","F2968D45E88B11EBE14415A941DCF9A4","F2968D45E88B11EBE14415A941DCF9A4","F2968D45E88B11EBE14415A941DCF9A4","FAA46548E88B11EBE14415A941DCF9A4","FAA46548E88B11EBE14415A941DCF9A4","FAA46548E88B11EBE14415A941DCF9A4"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.354696,1.058740,0.305893,-0.367819,0.006662,0.501209,-0.347665,0.009130,0.076102,-0.792250,0.664567,0.587514,-0.770378,0.671350,-0.111201,-0.348714,0.232960,0.075436,-0.042940,0.006922,0.080735,-0.295024,0.664160,-0.110134,0.293473,0.072050,0.147202,0.287800,1.053874,0.031429,0.318786,0.821889,0.128241,0.331646,0.069498,0.208452,0.239391,0.475212,0.149229,0.262722,1.382656,0.134141,0.102673,0.029075,0.184423,0.217630,0.810583,-0.021947
1,0.010000,0.354938,1.059031,0.305969,-0.367780,0.006632,0.501221,-0.347664,0.009131,0.076103,-0.792256,0.664570,0.587511,-0.770373,0.671349,-0.111203,-0.348711,0.232954,0.075439,-0.042929,0.006931,0.080742,-0.295022,0.664166,-0.110136,0.293483,0.072045,0.147219,0.287619,1.053752,0.031936,0.318865,0.821896,0.128277,0.331659,0.069512,0.208458,0.239425,0.475203,0.149249,0.262735,1.382396,0.134546,0.102668,0.029070,0.184413,0.217924,0.810227,-0.020999
2,0.020000,0.354959,1.059023,0.306095,-0.367813,0.006641,0.501214,-0.347660,0.009130,0.076104,-0.792255,0.664572,0.587515,-0.770379,0.671351,-0.111204,-0.348715,0.232962,0.075440,-0.042934,0.006921,0.080740,-0.295025,0.664160,-0.110136,0.293503,0.072050,0.147224,0.287380,1.053647,0.032416,0.318936,0.821883,0.128326,0.331652,0.069497,0.208482,0.239452,0.475195,0.149259,0.262720,1.382405,0.134680,0.102671,0.029068,0.184410,0.218181,0.809965,-0.020114
3,0.030000,0.354992,1.059019,0.306217,-0.367790,0.006642,0.501223,-0.347664,0.009126,0.076101,-0.792253,0.664559,0.587521,-0.770386,0.671353,-0.111206,-0.348717,0.232958,0.075440,-0.042932,0.006931,0.080738,-0.295019,0.664159,-0.110134,0.293511,0.072054,0.147240,0.287129,1.053520,0.033003,0.319066,0.821875,0.128417,0.331654,0.069501,0.208497,0.239499,0.475194,0.149262,0.262699,1.382408,0.134810,0.102660,0.029064,0.184405,0.218357,0.809642,-0.019207
4,0.040000,0.355034,1.059033,0.306307,-0.367802,0.006650,0.501215,-0.347669,0.009123,0.076104,-0.792256,0.664567,0.587518,-0.770379,0.671350,-0.111200,-0.348711,0.232960,0.075442,-0.042935,0.006920,0.080740,-0.295016,0.664166,-0.110132,0.293518,0.072059,0.147254,0.286925,1.053429,0.033443,0.319135,0.821858,0.128476,0.331661,0.069511,0.208510,0.239545,0.475183,0.149279,0.262679,1.382429,0.134940,0.102669,0.029072,0.184390,0.218476,0.809379,-0.018308
5,0.050000,0.355071,1.059027,0.306418,-0.367856,0.006688,0.501211,-0.347660,0.009123,0.076109,-0.792261,0.664568,0.587508,-0.770377,0.671351,-0.111205,-0.348715,0.232951,0.075442,-0.042928,0.006934,0.080733,-0.295021,0.664164,-0.110134,0.293537,0.072051,0.147259,0.286668,1.053280,0.033994,0.319224,0.821845,0.128534,0.331655,0.069509,0.208523,0.239609,0.475192,0.149280,0.262647,1.382446,0.135076,0.102652,0.029065,0.184389,0.218602,0.809099,-0.017426
6,0.060000,0.355085,1.059016,0.306538,-0.367815,0.006659,0.501221,-0.347663,0.009125,0.076104,-0.792253,0.664564,0.587516,-0.770377,0.671350,-0.111200,-0.348710,0.232958,0.075441,-0.042933,0.006935,0.080736,-0.295019,0.664163,-0.110135,0.293545,0.072057,0.147269,0.286538,1.053289,0.034502,0.319338,0.821812,0.128605,0.331660,0.069502,0.208535,0.239676,0.475188,0.149291,0.262623,1.382469,0.135194,0.102650,0.029083,0.184372,0.218641,0.808844,-0.016520
7,0.070000,0.355092,1.059000,0.306650,-0.367814,0.006657,0.501209,-0.347664,0.009122,0.076105,-0.792263,0.664571,0.587517,-0.770378,0.671356,-0.111201,-0.348717,0.232957,0.075439,-0.042926,0.006930,0.080738,-0.295017,0.664165,-0.110134,0.293557,0.072048,0.147284,0.286280,1.053189,0.035015,0.319532,0.821771,0.128663,0.331675,0.069521,0.208546,0.239738,0.475182,0.149298,0.262616,1.382514,0.135316,0.102640,0.029069,0.184373,0.218683,0.808644,-0.015638
8,0.080000,0.355323,1.059171,0.306791,-0.367817,0.006664,0.501215,-0.347669,0.009120,0.076102,-0.792259,0.664567,0.587519,-0.770374,0.671349,-0.111201,-0.348713,0.232956,0.075439,-0.042933,0.006925,0.080728,-0.295020,0.664165,-0.110134,0.293578,0.072053,0.147290,0.286025,1.053086,0.035512,0.319643,0.821763,0.128721,0.331678,0.069508,0.208558,0.239811,0.475172,0.149308,0.262533,1.382818,0.135217,0.102634,0.029062,0.184380,0.218676,0.808453,-0.014763
9,0.090000,0.355100,1.058843,0.306950,-0.367787,0.006625,0.501225,-0.347661,0.009125,0.076100,-0.792257,0.664567,0.587512,-0.770375,0.671349,-0.111203,-0.348714,0.232950,0.075439,-0.042927,0.006934,0.080741,-0.295016,0.664162,-0.110132,0.293605,0.072060,0.147304,0.285884,1.052978,0.036071,0.319753,0.821758,0.128785,0.331680,0.069509,0.208578,0.239896,0.475164,0.149337,0.262510,1.382879,0.135350,0.102646,0.029057,0.184368,0.218670,0.808281,-0.013843
10,0.100000,0.355380,1.059159,0.306981,-0.367805,0.006654,0.501227,-0.347666,0.009121,0.076108,-0.792259,0.664570,0.587513,-0.770375,0.671348,-0.111208,-0.348713,0.232954,0.075440,-0.042934,0.006917,0.080736,-0.295024,0.664163,-0.110128,0.293604,0.072054,0.147315,0.285691,1.052910,0.036541,0.319863,0.821762,0.128838,0.331680,0.069515,0.208585,0.239980,0.475159,0.149343,0.262448,1.382957,0.135496,0.102622,0.029071,0.184365,0.218644,0.808092,-0.012976
