Format Version,1.22,Take Name,paul_squatlifting1,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,16 Dec 1969 13:09:06 +0100,Total Frames in Take,5432,Total Exported Frames,5432,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,BODY:BACK,BODY:BACK,BODY:BACK,BOX:FARDL,BOX:FARDL,BOX:FARDL,BOX:FARDR,BOX:FARDR,BOX:FARDR,TABLE:FARL,TABLE:FARL,TABLE:FARL,TABLE:FARR,TABLE:FARR,TABLE:FARR,BOX:FARUR,BOX:FARUR,BOX:FARUR,BOX:NEADR,BOX:NEADR,BOX:NEADR,TABLE:NEAR,TABLE:NEAR,TABLE:NEAR,BODY:RANK,BODY:RANK,BODY:RANK,BODY:RELB,BODY:RELB,BODY:RELB,BODY:RGTR,BODY:RGTR,BODY:RGTR,BODY:RHEE,BODY:RHEE,BODY:RHEE,BODY:RKNE,BODY:RKNE,BODY:RKNE,BODY:RSHO,BODY:RSHO,BODY:RSHO,BODY:RTOE,BODY:RTOE,BODY:RTOE,BODY:RWRI,BODY:RWRI,BODY:RWRI,Unlabeled 1800,Unlabeled 1800,Unlabeled 1800,Unlabeled 1805,Unlabeled 1805,Unlabeled 1805,Unlabeled 1806,Unlabeled 1806,Unlabeled 1806,Unlabeled 1808,Unlabeled 1808,Unlabeled 1808,Unlabeled 1811,Unlabeled 1811,Unlabeled 1811,Unlabeled 1814,Unlabeled 1814,Unlabeled 1814,Unlabeled 1817,Unlabeled 1817,Unlabeled 1817,Unlabeled 1821,Unlabeled 1821,Unlabeled 1821,Unlabeled 1824,Unlabeled 1824,Unlabeled 1824,Unlabeled 1827,Unlabeled 1827,Unlabeled 1827
,,"8AB84AC1E88311EBE14415A941DCF9A4","8AB84AC1E88311EBE14415A941DCF9A4","8AB84AC1E88311EBE14415A941DCF9A4","9F34A689E88311EBE14415A941DCF9A4","9F34A689E88311EBE14415A941DCF9A4","9F34A689E88311EBE14415A941DCF9A4","9F34A685E88311EBE14415A941DCF9A4","9F34A685E88311EBE14415A941DCF9A4","9F34A685E88311EBE14415A941DCF9A4","A64F9F6AE88311EBE14415A941DCF9A4","A64F9F6AE88311EBE14415A941DCF9A4","A64F9F6AE88311EBE14415A941DCF9A4","A64F9F68E88311EBE14415A941DCF9A4","A64F9F68E88311EBE14415A941DCF9A4","A64F9F68E88311EBE14415A941DCF9A4","9F34A687E88311EBE14415A941DCF9A4","9F34A687E88311EBE14415A941DCF9A4","9F34A687E88311EBE14415A941DCF9A4","9F34A683E88311EBE14415A941DCF9A4","9F34A683E88311EBE14415A941DCF9A4","9F34A683E88311EBE14415A941DCF9A4","A64F9F66E88311EBE14415A941DCF9A4","A64F9F66E88311EBE14415A941DCF9A4","A64F9F66E88311EBE14415A941DCF9A4","91B5BABEE88311EBE14415A941DCF9A4","91B5BABEE88311EBE14415A941DCF9A4","91B5BABEE88311EBE14415A941DCF9A4","97B91843E88311EBE14415A941DCF9A4","97B91843E88311EBE14415A941DCF9A4","97B91843E88311EBE14415A941DCF9A4","91B5BAC2E88311EBE14415A941DCF9A4","91B5BAC2E88311EBE14415A941DCF9A4","91B5BAC2E88311EBE14415A941DCF9A4","8AB84AC5E88311EBE14415A941DCF9A4","8AB84AC5E88311EBE14415A941DCF9A4","8AB84AC5E88311EBE14415A941DCF9A4","91B5BAC0E88311EBE14415A941DCF9A4","91B5BAC0E88311EBE14415A941DCF9A4","91B5BAC0E88311EBE14415A941DCF9A4","97B91841E88311EBE14415A941DCF9A4","97B91841E88311EBE14415A941DCF9A4","97B91841E88311EBE14415A941DCF9A4","8AB84AC3E88311EBE14415A941DCF9A4","8AB84AC3E88311EBE14415A941DCF9A4","8AB84AC3E88311EBE14415A941DCF9A4","97B91845E88311EBE14415A941DCF9A4","97B91845E88311EBE14415A941DCF9A4","97B91845E88311EBE14415A941DCF9A4","CB3E0","CB3E0","CB3E0","CC9D0","CC9D0","CC9D0","CC9E0","CC9E0","CC9E0","CC9F0","CC9F0","CC9F0","CCA30","CCA30","CCA30","CCA40","CCA40","CCA40","CCA70","CCA70","CCA70","CCAC0","CCAC0","CCAC0","CCAE0","CCAE0","CCAE0","CC930","CC930","CC930"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.306468,1.069741,0.295156,-0.402787,0.003175,0.518142,-0.396338,0.005494,0.088430,-0.788035,0.660903,0.599663,-0.762990,0.669414,-0.099273,-0.397221,0.228463,0.084878,-0.089600,0.009106,0.085943,-0.286792,0.664680,-0.096220,0.272950,0.062483,0.090409,0.251469,1.030447,0.026496,0.242691,0.860267,0.133520,0.321071,0.062647,0.143956,0.215229,0.471380,0.125404,0.262714,1.373434,0.111749,0.088769,0.030293,0.131485,0.178485,0.783339,0.057692,1.356578,1.506764,-0.531274,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010000,0.305659,1.069604,0.294495,-0.402784,0.003162,0.518130,-0.396337,0.005497,0.088429,-0.788041,0.660905,0.599656,-0.762985,0.669414,-0.099275,-0.397218,0.228465,0.084880,-0.089554,0.008939,0.086042,-0.286791,0.664674,-0.096219,0.273088,0.062449,0.090340,0.249810,1.030566,0.025566,0.241884,0.860452,0.132905,0.321167,0.062594,0.143892,0.216551,0.471406,0.124859,0.262463,1.373477,0.110968,0.088748,0.030274,0.131438,0.176640,0.783610,0.056995,1.356525,1.506758,-0.531251,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.020000,0.304971,1.069451,0.293783,-0.402798,0.003168,0.518133,-0.396338,0.005488,0.088433,-0.788041,0.660910,0.599655,-0.762988,0.669419,-0.099275,-0.397218,0.228459,0.084884,-0.089555,0.008947,0.086031,-0.286789,0.664679,-0.096220,0.273214,0.062410,0.090280,0.248195,1.030902,0.024384,0.241182,0.860584,0.132292,0.321253,0.062530,0.143836,0.217978,0.471377,0.124341,0.262075,1.373413,0.110190,0.088715,0.030264,0.131391,0.174738,0.783849,0.056364,1.356601,1.506774,-0.531265,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.030000,0.304304,1.069283,0.293068,-0.402825,0.003194,0.518122,-0.396332,0.005497,0.088424,-0.788031,0.660915,0.599661,-0.762983,0.669416,-0.099274,-0.397224,0.228466,0.084883,-0.089560,0.008944,0.086033,-0.286796,0.664676,-0.096224,0.273343,0.062379,0.090236,0.246634,1.030945,0.023455,0.240523,0.860624,0.131700,0.321361,0.062450,0.143801,0.219499,0.471343,0.123872,0.261760,1.373316,0.109405,0.088692,0.030263,0.131339,0.172876,0.784034,0.055814,1.357177,1.507027,-0.531417,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.040000,0.303812,1.069229,0.292428,-0.402764,0.003146,0.518144,-0.396338,0.005490,0.088431,-0.788044,0.660916,0.599653,-0.762983,0.669410,-0.099274,-0.397221,0.228465,0.084879,-0.089553,0.008941,0.086034,-0.286790,0.664671,-0.096217,0.273478,0.062327,0.090205,0.245070,1.030970,0.022464,0.239935,0.860593,0.131173,0.321451,0.062365,0.143754,0.221190,0.471607,0.123380,0.261450,1.373244,0.108596,0.088680,0.030262,0.131301,0.171054,0.784156,0.055285,1.357154,1.507030,-0.531427,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.050000,0.303134,1.069087,0.291679,-0.402800,0.003171,0.518129,-0.396336,0.005494,0.088439,-0.788032,0.660903,0.599658,-0.762991,0.669414,-0.099272,-0.397220,0.228468,0.084882,-0.089565,0.008946,0.086031,-0.286791,0.664669,-0.096221,0.273584,0.062306,0.090169,0.243515,1.030921,0.021542,0.239357,0.860496,0.130656,0.321538,0.062253,0.143719,0.222761,0.471440,0.122913,0.261081,1.373125,0.107823,0.088666,0.030282,0.131258,0.169228,0.784220,0.054832,1.357193,1.507033,-0.531434,,,,,,,,,,,,,,,,,,,,,,,,,,,
