Format Version,1.0,
Take Name,clement_squatlifitng1,
Capture Frame Rate,100.00,
Export Frame Rate,100.00,
Capture Start Time,20 Dec 1969 10:09:46 +0100,
Total Frames In Take,6995,
Total Exported Frames,6995,
Coordinate Space,Local,
Device Name,AMTI 12073M,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,1.00,

PlateLength,15.750000,
PlateWidth,23.620000,
PlateOrder,1,
PosX_PosY_X,0.400090,
PosX_PosY_Y,-0.000078,
PosX_PosY_Z,0.600489,
NegX_PosY_X,0.000039,
NegX_PosY_Y,-0.000043,
NegX_PosY_Z,0.600698,
NegX_NegY_X,-0.000002,
NegX_NegY_Y,-0.000010,
NegX_NegY_Z,-0.000014,
PosX_NegY_X,0.400050,
PosX_NegY_Y,-0.000046,
PosX_NegY_Z,-0.000223,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz
0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,2,-5.012939,-10.891602,732.093750,-13.560547,-59.863281,6.760254,0.081770,-0.018523,0.000000
3,0.030000,3,-5.013672,-10.335449,729.156250,-13.674316,-59.902344,6.741211,0.082153,-0.018754,0.000000
4,0.040000,4,-4.830322,-10.155762,728.812500,-13.456055,-59.933594,6.779785,0.082235,-0.018463,0.000000
5,0.050000,5,-5.194092,-10.242188,729.156250,-13.587402,-59.949219,6.703125,0.082217,-0.018634,0.000000
6,0.060000,6,-5.193115,-10.242188,728.093750,-13.407227,-59.910156,6.741943,0.082284,-0.018414,0.000000
7,0.070000,7,-5.377197,-10.422363,729.156250,-13.535156,-59.916016,6.760498,0.082172,-0.018563,0.000000
8,0.080000,8,-4.917480,-10.527832,730.625000,-13.213379,-59.898438,6.799072,0.081982,-0.018085,0.000000
9,0.090000,9,-4.829102,-10.885254,728.093750,-13.337891,-59.859375,6.723145,0.082214,-0.018319,0.000000
10,0.100000,10,-5.278564,-10.423340,729.906250,-13.353027,-60.025391,6.779785,0.082237,-0.018294,0.000000
11,0.110000,11,-4.559814,-11.071289,729.187500,-13.420410,-59.958984,6.722412,0.082227,-0.018405,0.000000
12,0.120000,12,-4.649170,-10.896484,730.281250,-13.471191,-59.884766,6.722412,0.082002,-0.018447,0.000000
