Format Version,1.22,Take Name,clement_squatlifitng1,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,20 Dec 1969 10:09:46 +0100,Total Frames in Take,6995,Total Exported Frames,6995,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,BODY:BACK,BODY:BACK,BODY:BACK,BOX:FARDL,BOX:FARDL,BOX:FARDL,BOX:FARDR,BOX:FARDR,BOX:FARDR,TABLE:FARL,TABLE:FARL,TABLE:FARL,TABLE:FARR,TABLE:FARR,TABLE:FARR,BOX:FARUR,BOX:FARUR,BOX:FARUR,BOX:NEADR,BOX:NEADR,BOX:NEADR,TABLE:NEAR,TABLE:NEAR,TABLE:NEAR,BODY:RANK,BODY:RANK,BODY:RANK,BODY:RELB,BODY:RELB,BODY:RELB,BODY:RGTR,BODY:RGTR,BODY:RGTR,BODY:RHEE,BODY:RHEE,BODY:RHEE,BODY:RKNE,BODY:RKNE,BODY:RKNE,BODY:RSHO,BODY:RSHO,BODY:RSHO,BODY:RTOE,BODY:RTOE,BODY:RTOE,BODY:RWRI,BODY:RWRI,BODY:RWRI,Unlabeled 1997,Unlabeled 1997,Unlabeled 1997,Unlabeled 2001,Unlabeled 2001,Unlabeled 2001,Unlabeled 2005,Unlabeled 2005,Unlabeled 2005,Unlabeled 2006,Unlabeled 2006,Unlabeled 2006,Unlabeled 2009,Unlabeled 2009,Unlabeled 2009,Unlabeled 2012,Unlabeled 2012,Unlabeled 2012,Unlabeled 2013,Unlabeled 2013,Unlabeled 2013,Unlabeled 2016,Unlabeled 2016,Unlabeled 2016
,,"ECEC37CCEA1F11EBE14415A941DCFAA4","ECEC37CCEA1F11EBE14415A941DCFAA4","ECEC37CCEA1F11EBE14415A941DCFAA4","F4BD50BCEA1F11EBE14415A941DCFAA4","F4BD50BCEA1F11EBE14415A941DCFAA4","F4BD50BCEA1F11EBE14415A941DCFAA4","F4BD50B8EA1F11EBE14415A941DCFAA4","F4BD50B8EA1F11EBE14415A941DCFAA4","F4BD50B8EA1F11EBE14415A941DCFAA4","FAF9D968EA1F11EBE14415A941DCFAA4","FAF9D968EA1F11EBE14415A941DCFAA4","FAF9D968EA1F11EBE14415A941DCFAA4","FAF9D966EA1F11EBE14415A941DCFAA4","FAF9D966EA1F11EBE14415A941DCFAA4","FAF9D966EA1F11EBE14415A941DCFAA4","F4BD50BAEA1F11EBE14415A941DCFAA4","F4BD50BAEA1F11EBE14415A941DCFAA4","F4BD50BAEA1F11EBE14415A941DCFAA4","F4BD50B6EA1F11EBE14415A941DCFAA4","F4BD50B6EA1F11EBE14415A941DCFAA4","F4BD50B6EA1F11EBE14415A941DCFAA4","FAF9D964EA1F11EBE14415A941DCFAA4","FAF9D964EA1F11EBE14415A941DCFAA4","FAF9D964EA1F11EBE14415A941DCFAA4","E6898D13EA1F11EBE14415A941DCFAA4","E6898D13EA1F11EBE14415A941DCFAA4","E6898D13EA1F11EBE14415A941DCFAA4","ECEC37C8EA1F11EBE14415A941DCFAA4","ECEC37C8EA1F11EBE14415A941DCFAA4","ECEC37C8EA1F11EBE14415A941DCFAA4","E6898D17EA1F11EBE14415A941DCFAA4","E6898D17EA1F11EBE14415A941DCFAA4","E6898D17EA1F11EBE14415A941DCFAA4","E6898D11EA1F11EBE14415A941DCFAA4","E6898D11EA1F11EBE14415A941DCFAA4","E6898D11EA1F11EBE14415A941DCFAA4","E6898D15EA1F11EBE14415A941DCFAA4","E6898D15EA1F11EBE14415A941DCFAA4","E6898D15EA1F11EBE14415A941DCFAA4","E6898D19EA1F11EBE14415A941DCFAA4","E6898D19EA1F11EBE14415A941DCFAA4","E6898D19EA1F11EBE14415A941DCFAA4","E6898D0FEA1F11EBE14415A941DCFAA4","E6898D0FEA1F11EBE14415A941DCFAA4","E6898D0FEA1F11EBE14415A941DCFAA4","ECEC37CAEA1F11EBE14415A941DCFAA4","ECEC37CAEA1F11EBE14415A941DCFAA4","ECEC37CAEA1F11EBE14415A941DCFAA4","C9780","C9780","C9780","C97C0","C97C0","C97C0","C9800","C9800","C9800","C9810","C9810","C9810","C9820","C9820","C9820","C9850","C9850","C9850","C9880","C9880","C9880","C9890","C9890","C9890"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.374320,1.107815,0.299137,-0.367224,0.010090,0.482953,-0.362429,0.007872,0.058441,-0.745313,0.661240,0.602044,-0.730935,0.667029,-0.095402,-0.365185,0.229155,0.054320,-0.047542,0.006894,0.056130,-0.254619,0.661536,-0.099899,0.320115,0.074449,0.146287,0.282190,1.122196,0.032057,0.357103,0.882977,0.121825,0.357015,0.076893,0.201066,0.259979,0.495277,0.124699,0.320690,1.485796,0.118977,0.112495,0.034522,0.151403,0.158431,0.891649,0.027460,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010000,0.374333,1.107815,0.299113,-0.367268,0.010140,0.482936,-0.362426,0.007869,0.058449,-0.745313,0.661241,0.602042,-0.730930,0.667032,-0.095403,-0.365186,0.229155,0.054322,-0.047540,0.006905,0.056126,-0.254616,0.661541,-0.099903,0.320114,0.074439,0.146285,0.282185,1.122198,0.032049,0.357106,0.882982,0.121809,0.357020,0.076912,0.201061,0.259977,0.495284,0.124688,0.320703,1.485792,0.118975,0.112490,0.034523,0.151404,0.158400,0.891650,0.027467,,,,,,,,,,,,,,,,,,,,,,,,
2,0.020000,0.374346,1.107813,0.299087,-0.367233,0.010098,0.482945,-0.362431,0.007861,0.058456,-0.745310,0.661239,0.602044,-0.730929,0.667030,-0.095406,-0.365188,0.229164,0.054320,-0.047538,0.006891,0.056122,-0.254618,0.661546,-0.099903,0.320113,0.074444,0.146289,0.282180,1.122193,0.032031,0.357111,0.882977,0.121784,0.357018,0.076902,0.201058,0.259977,0.495277,0.124684,0.320694,1.485790,0.118971,0.112494,0.034526,0.151410,0.158385,0.891650,0.027479,,,,,,,,,,,,,,,,,,,,,,,,
3,0.030000,0.374371,1.107823,0.299069,-0.367230,0.010101,0.482951,-0.362432,0.007858,0.058454,-0.745320,0.661246,0.602040,-0.730929,0.667030,-0.095403,-0.365188,0.229156,0.054324,-0.047539,0.006898,0.056123,-0.254615,0.661543,-0.099906,0.320114,0.074450,0.146280,0.282179,1.122184,0.032030,0.357104,0.882968,0.121773,0.357019,0.076916,0.201057,0.259975,0.495277,0.124675,0.320701,1.485782,0.118958,0.112493,0.034518,0.151418,0.158384,0.891637,0.027489,,,,,,,,,,,,,,,,,,,,,,,,
4,0.040000,0.374311,1.107784,0.299012,-0.367275,0.010125,0.482944,-0.362432,0.007861,0.058458,-0.745313,0.661238,0.602042,-0.730927,0.667024,-0.095405,-0.365182,0.229158,0.054326,-0.047537,0.006889,0.056134,-0.254619,0.661536,-0.099896,0.320110,0.074431,0.146281,0.282177,1.122168,0.032034,0.357100,0.882965,0.121746,0.357019,0.076909,0.201053,0.259979,0.495283,0.124667,0.320693,1.485782,0.118951,0.112483,0.034512,0.151418,0.158400,0.891633,0.027502,,,,,,,,,,,,,,,,,,,,,,,,
5,0.050000,0.374318,1.107784,0.299006,-0.367291,0.010154,0.482934,-0.362431,0.007867,0.058447,-0.745312,0.661241,0.602036,-0.730930,0.667031,-0.095399,-0.365184,0.229161,0.054323,-0.047535,0.006887,0.056125,-0.254613,0.661541,-0.099895,0.320114,0.074432,0.146277,0.282186,1.122177,0.032027,0.357103,0.882973,0.121724,0.357022,0.076908,0.201056,0.259994,0.495286,0.124653,0.320685,1.485779,0.118937,0.112496,0.034524,0.151411,0.158418,0.891629,0.027507,,,,,,,,,,,,,,,,,,,,,,,,
