Format Version,1.0,
Take Name,laurent_exciting_mvts1_000,
Capture Frame Rate,100.00,
Export Frame Rate,100.00,
Capture Start Time,20 Dec 1969 08:50:57 +0100,
Total Frames In Take,20182,
Total Exported Frames,20182,
Coordinate Space,Local,
Device Name,AMTI 12073M,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,1.00,

PlateLength,15.750000,
PlateWidth,23.620000,
PlateOrder,1,
PosX_PosY_X,0.400090,
PosX_PosY_Y,-0.000078,
PosX_PosY_Z,0.600489,
NegX_PosY_X,0.000039,
NegX_PosY_Y,-0.000043,
NegX_PosY_Z,0.600698,
NegX_NegY_X,-0.000002,
NegX_NegY_Y,-0.000010,
NegX_NegY_Z,-0.000014,
PosX_NegY_X,0.400050,
PosX_NegY_Y,-0.000046,
PosX_NegY_Z,-0.000223,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz
0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,2,-3.834961,-10.103027,567.625000,5.107422,-34.203125,3.734619,0.060257,0.008998,0.000000
3,0.030000,3,-4.296387,-10.828125,566.531250,5.135254,-34.148438,3.696899,0.060276,0.009064,0.000000
4,0.040000,4,-4.020996,-9.912109,568.343750,4.965088,-34.429688,3.717407,0.060579,0.008736,0.000000
5,0.050000,5,-3.927368,-10.285156,568.343750,4.843750,-34.208984,3.602783,0.060191,0.008523,0.000000
6,0.060000,6,-4.213867,-10.359375,567.281250,4.981201,-34.767578,3.774536,0.061288,0.008781,0.000000
7,0.070000,7,-4.033447,-10.452637,567.625000,4.984863,-34.867188,3.717041,0.061426,0.008782,0.000000
8,0.080000,8,-4.033203,-10.453125,569.093750,5.076660,-34.904297,3.773682,0.061333,0.008921,0.000000
9,0.090000,9,-4.032471,-10.361328,567.625000,4.980957,-34.941406,3.735962,0.061557,0.008775,0.000000
10,0.100000,10,-3.488037,-10.368652,568.375000,5.026123,-34.957031,3.640015,0.061503,0.008843,0.000000
11,0.110000,11,-3.135010,-10.646484,565.843750,4.627197,-34.906250,3.564453,0.061689,0.008178,0.000000
12,0.120000,12,-3.051880,-11.378418,566.187500,4.565186,-34.718750,3.602905,0.061320,0.008063,0.000000
