Format Version,1.0,
Take Name,laurent_squatlifting1,
Capture Frame Rate,100.00,
Export Frame Rate,100.00,
Capture Start Time,20 Dec 1969 09:06:11 +0100,
Total Frames In Take,5266,
Total Exported Frames,5266,
Coordinate Space,Local,
Device Name,AMTI 12073M,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,1.00,

PlateLength,15.750000,
PlateWidth,23.620000,
PlateOrder,1,
PosX_PosY_X,0.400090,
PosX_PosY_Y,-0.000078,
PosX_PosY_Z,0.600489,
NegX_PosY_X,0.000039,
NegX_PosY_Y,-0.000043,
NegX_PosY_Z,0.600698,
NegX_NegY_X,-0.000002,
NegX_NegY_Y,-0.000010,
NegX_NegY_Z,-0.000014,
PosX_NegY_X,0.400050,
PosX_NegY_Y,-0.000046,
PosX_NegY_Z,-0.000223,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz
0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,1,3.733887,34.701172,579.687500,46.718750,-31.668945,4.526611,0.054631,0.080593,0.000000
2,0.020000,2,0.899536,33.103516,573.187500,45.140625,-30.574219,4.039795,0.053341,0.078754,0.000000
3,0.030000,3,-1.219177,30.860352,565.218750,43.177734,-29.536133,3.670898,0.052256,0.076391,0.000000
4,0.040000,4,-2.705200,28.518555,556.187500,41.259766,-28.652344,3.355225,0.051516,0.074183,0.000000
5,0.050000,5,-3.641113,26.341797,550.781250,39.566406,-27.857422,3.134521,0.050578,0.071837,0.000000
6,0.060000,6,-4.942139,23.996094,550.781250,37.246094,-27.086914,3.105835,0.049179,0.067624,0.000000
7,0.070000,7,-6.333740,20.730469,553.718750,34.689453,-26.136719,3.018188,0.047202,0.062648,0.000000
8,0.080000,8,-8.911621,17.944336,557.343750,31.664063,-25.530273,3.083374,0.045807,0.056812,0.000000
9,0.090000,9,-9.670410,15.397949,563.875000,28.603516,-24.592773,3.053467,0.043614,0.050727,0.000000
10,0.100000,10,-10.630859,14.028320,571.468750,25.237305,-24.351563,3.380859,0.042612,0.044162,0.000000
11,0.110000,11,-10.845703,13.655762,575.406250,21.826172,-23.424805,3.445190,0.040710,0.037932,0.000000
12,0.120000,12,-11.722656,12.652344,579.781250,17.443359,-22.636719,3.487793,0.039044,0.030086,0.000000
13,0.130000,13,-13.707031,10.928223,576.843750,13.076172,-21.920898,3.515503,0.038001,0.022668,0.000000
14,0.140000,14,-14.249023,7.922363,572.500000,8.569336,-21.108398,3.619507,0.036871,0.014968,0.000000
15,0.150000,15,-14.178711,4.364502,572.156250,3.398315,-21.002930,3.586182,0.036708,0.005939,0.000000
16,0.160000,16,-13.661621,-0.478043,571.812500,-2.047729,-20.940430,3.611450,0.036621,-0.003581,0.000000
17,0.170000,17,-10.893555,-5.707520,571.812500,-8.080078,-21.472656,3.697388,0.037552,-0.014131,0.000000
18,0.180000,18,-8.077148,-13.037598,566.750000,-15.044434,-21.945313,3.598877,0.038721,-0.026545,0.000000
19,0.190000,19,-4.977051,-20.268555,562.437500,-22.341797,-22.673828,3.425781,0.040314,-0.039723,0.000000
20,0.200000,20,-4.036865,-26.386719,558.781250,-28.915039,-22.978516,3.177856,0.041123,-0.051747,0.000000
21,0.210000,21,-3.470703,-32.937500,557.250000,-34.708984,-23.794922,3.100220,0.042701,-0.062286,0.000000
22,0.220000,22,-2.858887,-37.031250,556.468750,-40.013672,-23.923828,3.051880,0.042992,-0.071906,0.000000
23,0.230000,23,-1.878723,-40.490234,555.343750,-44.615234,-24.154297,2.984863,0.043494,-0.080338,0.000000
24,0.240000,24,-2.963379,-42.925781,555.250000,-48.705078,-24.503906,3.066284,0.044131,-0.087717,0.000000
25,0.250000,25,-2.645630,-43.199219,559.906250,-52.283203,-24.658203,3.267090,0.044040,-0.093378,0.000000
