Format Version,1.22,Take Name,laurent_squatlifting1,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,20 Dec 1969 09:06:11 +0100,Total Frames in Take,5266,Total Exported Frames,5266,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,BODY:BACK,BODY:BACK,BODY:BACK,BOX:FARDL,BOX:FARDL,BOX:FARDL,BOX:FARDR,BOX:FARDR,BOX:FARDR,TABLE:FARL,TABLE:FARL,TABLE:FARL,TABLE:FARR,TABLE:FARR,TABLE:FARR,BOX:FARUR,BOX:FARUR,BOX:FARUR,BOX:NEADR,BOX:NEADR,BOX:NEADR,TABLE:NEAR,TABLE:NEAR,TABLE:NEAR,BODY:RANK,BODY:RANK,BODY:RANK,BODY:RELB,BODY:RELB,BODY:RELB,BODY:RGTR,BODY:RGTR,BODY:RGTR,BODY:RHEE,BODY:RHEE,BODY:RHEE,BODY:RKNE,BODY:RKNE,BODY:RKNE,BODY:RSHO,BODY:RSHO,BODY:RSHO,BODY:RTOE,BODY:RTOE,BODY:RTOE,BODY:RWRI,BODY:RWRI,BODY:RWRI,Unlabeled 1682,Unlabeled 1682,Unlabeled 1682,Unlabeled 1695,Unlabeled 1695,Unlabeled 1695,Unlabeled 1698,Unlabeled 1698,Unlabeled 1698,Unlabeled 1703,Unlabeled 1703,Unlabeled 1703,Unlabeled 1712,Unlabeled 1712,Unlabeled 1712
,,"2E081443EA2311EBE14415A941DCFAA4","2E081443EA2311EBE14415A941DCFAA4","2E081443EA2311EBE14415A941DCFAA4","35E58D48EA2311EBE14415A941DCFAA4","35E58D48EA2311EBE14415A941DCFAA4","35E58D48EA2311EBE14415A941DCFAA4","35E58D44EA2311EBE14415A941DCFAA4","35E58D44EA2311EBE14415A941DCFAA4","35E58D44EA2311EBE14415A941DCFAA4","3C4D7C79EA2311EBE14415A941DCFAA4","3C4D7C79EA2311EBE14415A941DCFAA4","3C4D7C79EA2311EBE14415A941DCFAA4","35E58D4DEA2311EBE14415A941DCFAA4","35E58D4DEA2311EBE14415A941DCFAA4","35E58D4DEA2311EBE14415A941DCFAA4","35E58D46EA2311EBE14415A941DCFAA4","35E58D46EA2311EBE14415A941DCFAA4","35E58D46EA2311EBE14415A941DCFAA4","35E58D42EA2311EBE14415A941DCFAA4","35E58D42EA2311EBE14415A941DCFAA4","35E58D42EA2311EBE14415A941DCFAA4","35E58D4BEA2311EBE14415A941DCFAA4","35E58D4BEA2311EBE14415A941DCFAA4","35E58D4BEA2311EBE14415A941DCFAA4","27D5A88BEA2311EBE14415A941DCFAA4","27D5A88BEA2311EBE14415A941DCFAA4","27D5A88BEA2311EBE14415A941DCFAA4","2E08143FEA2311EBE14415A941DCFAA4","2E08143FEA2311EBE14415A941DCFAA4","2E08143FEA2311EBE14415A941DCFAA4","27D5A88FEA2311EBE14415A941DCFAA4","27D5A88FEA2311EBE14415A941DCFAA4","27D5A88FEA2311EBE14415A941DCFAA4","27D5A889EA2311EBE14415A941DCFAA4","27D5A889EA2311EBE14415A941DCFAA4","27D5A889EA2311EBE14415A941DCFAA4","27D5A88DEA2311EBE14415A941DCFAA4","27D5A88DEA2311EBE14415A941DCFAA4","27D5A88DEA2311EBE14415A941DCFAA4","2E08143DEA2311EBE14415A941DCFAA4","2E08143DEA2311EBE14415A941DCFAA4","2E08143DEA2311EBE14415A941DCFAA4","27D5A887EA2311EBE14415A941DCFAA4","27D5A887EA2311EBE14415A941DCFAA4","27D5A887EA2311EBE14415A941DCFAA4","2E081441EA2311EBE14415A941DCFAA4","2E081441EA2311EBE14415A941DCFAA4","2E081441EA2311EBE14415A941DCFAA4","C7C30","C7C30","C7C30","C7D20","C7D20","C7D20","C7D40","C7D40","C7D40","C7D90","C7D90","C7D90","C7E00","C7E00","C7E00"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.364331,1.099304,0.325607,-0.365181,0.008077,0.483050,-0.351587,0.009705,0.058407,-0.787805,0.661786,0.592732,-0.761219,0.667388,-0.104274,-0.352301,0.231012,0.055028,-0.036606,0.007874,0.062878,-0.284900,0.661639,-0.100440,0.291612,0.078199,0.173249,0.266092,1.077146,0.073025,0.345191,0.831286,0.164696,0.316010,0.074802,0.231115,0.211933,0.467458,0.166086,0.268003,1.421018,0.136344,0.108086,0.029298,0.163057,0.143725,0.852208,0.051991,,,,,,,,,,,,,,,
1,0.010000,0.364113,1.099281,0.323528,-0.365215,0.008101,0.483048,-0.351579,0.009708,0.058407,-0.787793,0.661780,0.592732,-0.761217,0.667393,-0.104284,-0.352291,0.231015,0.055028,-0.036594,0.007877,0.062876,-0.284892,0.661649,-0.100447,0.291764,0.078058,0.173004,0.264630,1.076513,0.070854,0.345101,0.831484,0.162964,0.316175,0.074728,0.230876,0.212563,0.467480,0.165099,0.268055,1.420502,0.133298,0.108218,0.029410,0.162996,0.141116,0.851814,0.052351,,,,,,,,,,,,,,,
2,0.020000,0.363873,1.099302,0.321435,-0.365264,0.008134,0.483042,-0.351573,0.009709,0.058405,-0.787778,0.661773,0.592743,-0.761218,0.667391,-0.104276,-0.352288,0.231020,0.055021,-0.036597,0.007869,0.062881,-0.284885,0.661656,-0.100440,0.291811,0.077526,0.172782,0.263218,1.075858,0.068788,0.345091,0.831661,0.161537,0.316344,0.074685,0.230627,0.213240,0.467442,0.163979,0.268135,1.420040,0.130296,0.108341,0.029495,0.162923,0.138669,0.851485,0.052753,0.264851,1.418544,0.147407,,,,,,,,,,,,
3,0.030000,0.363791,1.099411,0.319308,-0.365186,0.008094,0.483042,-0.351583,0.009715,0.058404,-0.787791,0.661784,0.592735,-0.761221,0.667393,-0.104273,-0.352117,0.230811,0.055158,-0.036600,0.007860,0.062888,-0.284894,0.661654,-0.100442,0.292159,0.077680,0.172544,0.261662,1.075279,0.066733,0.345163,0.831844,0.160111,0.316471,0.074615,0.230394,0.213873,0.467376,0.162733,0.268236,1.419633,0.127307,0.108446,0.029520,0.162797,0.136390,0.851113,0.053154,0.265066,1.418306,0.144685,,,,,,,,,,,,
4,0.040000,0.363491,1.099390,0.317098,-0.365195,0.008094,0.483041,-0.351589,0.009702,0.058410,-0.787813,0.661786,0.592735,-0.761221,0.667392,-0.104272,-0.352277,0.230953,0.055130,-0.036609,0.007869,0.062889,-0.284903,0.661644,-0.100431,0.292343,0.077508,0.172288,0.260220,1.074716,0.064707,0.345275,0.831989,0.158915,0.316565,0.074537,0.230132,0.214403,0.467242,0.161362,0.268390,1.419320,0.124308,0.108473,0.029480,0.162608,0.134274,0.850760,0.053565,,,,,,,,,,,,,,,
5,0.050000,0.363155,1.099351,0.314939,-0.365222,0.008106,0.483042,-0.351586,0.009707,0.058405,-0.787805,0.661782,0.592731,-0.761217,0.667395,-0.104275,-0.352342,0.231010,0.055128,-0.036601,0.007865,0.062885,-0.284905,0.661647,-0.100437,0.292508,0.077315,0.172035,0.258698,1.074248,0.062670,0.345487,0.832022,0.157738,0.316622,0.074500,0.229912,0.214871,0.467159,0.159891,0.268582,1.418962,0.121476,0.108434,0.029423,0.162346,0.132295,0.850469,0.053922,,,,,,,,,,,,,,,
